Account_ID,TimeStamp,Source,Category,Metric_Group,Metric,Value
12,6/23/2026 0:00:00,33,Biometrics,Sleep,State,Light
12,6/23/2026 0:00:00,33,Biometrics,HeartRate,Delta_Reading,-5
12,6/23/2026 0:00:00,33,Biometrics,HeartRate,Alarm_Level,3
12,6/23/2026 0:00:00,33,Biometrics,HeartRate,Reading,71
12,6/23/2026 0:15:00,33,Biometrics,HeartRate,Reading,67.33333333
12,6/23/2026 0:30:00,33,Biometrics,HeartRate,Reading,63.66666667
12,6/23/2026 0:45:00,33,Biometrics,HeartRate,Reading,60
12,6/23/2026 1:00:00,33,Biometrics,HeartRate,Reading,58
12,6/23/2026 1:15:00,33,Biometrics,HeartRate,Reading,56
12,6/23/2026 1:30:00,33,Biometrics,HeartRate,Reading,54
12,6/23/2026 1:45:00,33,Biometrics,HeartRate,Reading,52
12,6/23/2026 2:00:00,33,Biometrics,HeartRate,Reading,50
12,6/23/2026 2:00:00,33,Biometrics,Sleep,State,Deep
12,6/23/2026 2:00:15,33,Biometrics,HeartRate,Delta_Reading,10
12,6/23/2026 2:00:15,33,Biometrics,HeartRate,Reading,60
12,6/23/2026 2:00:15,33,Biometrics,HeartRate,Alarm_Level,3
12,6/23/2026 2:15:00,33,Biometrics,HeartRate,Reading,58
12,6/23/2026 2:30:00,33,Biometrics,HeartRate,Reading,56
12,6/23/2026 2:45:00,33,Biometrics,HeartRate,Reading,57
12,6/23/2026 3:00:00,33,Biometrics,HeartRate,Reading,60
12,6/23/2026 3:15:00,33,Biometrics,HeartRate,Reading,61
12,6/23/2026 3:30:00,33,Biometrics,HeartRate,Reading,62
12,6/23/2026 3:45:00,33,Biometrics,Sleep,State,REM
12,6/23/2026 3:45:00,33,Biometrics,HeartRate,Reading,64
12,6/23/2026 4:00:00,33,Biometrics,HeartRate,Reading,62
12,6/23/2026 4:15:00,33,Biometrics,HeartRate,Reading,59
12,6/23/2026 4:30:00,33,Biometrics,HeartRate,Reading,55
12,6/23/2026 4:45:00,33,Biometrics,HeartRate,Reading,54.75
12,6/23/2026 5:00:00,33,Biometrics,HeartRate,Reading,54.5
12,6/23/2026 5:15:00,33,Biometrics,HeartRate,Reading,54.25
12,6/23/2026 5:30:00,33,Biometrics,Sleep,State,Deep
12,6/23/2026 5:30:00,33,Biometrics,HeartRate,Reading,54
12,6/23/2026 5:45:00,33,Biometrics,HeartRate,Reading,53.75
12,6/23/2026 6:00:00,33,Biometrics,HeartRate,Reading,53.5
12,6/23/2026 6:15:00,33,Biometrics,HeartRate,Reading,53.25
12,6/23/2026 6:30:00,33,Biometrics,HeartRate,Reading,53
12,6/23/2026 6:30:00,27,System,Clock_Alarm,State,Triggered
12,6/23/2026 6:30:10,33,Biometrics,Accelerometer,Movement,0.85
12,6/23/2026 6:30:15,33,Biometrics,Sleep,State,Awake
12,6/23/2026 6:31:00,27,System,Clock_Alarm,State,Snoozed
12,6/23/2026 6:35:00,33,Biometrics,Sleep,State,Light
12,6/23/2026 6:35:00,33,Biometrics,HeartRate,Reading,55
12,6/23/2026 6:45:00,33,Biometrics,HeartRate,Reading,53
12,6/23/2026 6:52:00,33,Biometrics,Accelerometer,Movement,0.12
12,6/23/2026 7:00:00,33,Biometrics,HeartRate,Reading,53
12,6/23/2026 7:00:00,27,System,Clock_Alarm,State,Triggered
12,6/23/2026 7:00:05,33,Biometrics,HeartRate,Delta_Reading,15
12,6/23/2026 7:00:05,33,Biometrics,HeartRate,Reading,78
12,6/23/2026 7:00:15,33,Biometrics,Accelerometer,Movement,0.12
12,6/23/2026 7:01:00,27,System,Clock_Alarm,State,Dismissed
12,6/23/2026 7:01:00,33,Biometrics,Sleep,State,Awake
12,6/23/2026 7:30:00,33,Biometrics,HeartRate,Reading,77
12,6/23/2026 8:00:00,33,Biometrics,HeartRate,Reading,78
12,6/23/2026 8:00:00,33,Biometrics,Pedometer,Step_Count,42
12,6/23/2026 8:30:00,33,Biometrics,HeartRate,Reading,77
12,6/23/2026 8:30:00,33,Biometrics,Pedometer,Step_Count,66
12,6/23/2026 8:30:00,42,Activity,Chrome,URL,www.youtube.com
12,6/23/2026 9:00:00,33,Biometrics,HeartRate,Reading,78
12,6/23/2026 9:00:00,42,Activity,Chrome,URL,www.youtube.com
12,6/23/2026 9:30:00,33,Biometrics,HeartRate,Reading,77
12,6/23/2026 9:30:00,42,Activity,Chrome,URL,www.youtube.com
12,6/23/2026 10:00:00,33,Biometrics,HeartRate,Reading,77
12,6/23/2026 10:00:00,42,Activity,Chrome,URL,www.youtube.com
12,6/23/2026 10:00:00,42,Activity,Valorant,Event,Launching
12,6/23/2026 10:15:00,42,Activity,Valorant,Event,Match Found
12,6/23/2026 10:19:00,42,Activity,Valorant,Death_Event,Headshot
12,6/23/2026 10:19:00,33,Biometrics,HeartRate,Delta_Reading,10
12,6/23/2026 10:19:00,33,Biometrics,HeartRate,Reading,87
12,6/23/2026 10:19:00,33,Biometrics,HeartRate,Alarm_Level,4
12,6/23/2026 10:23:00,42,Activity,Valorant,Kill_Event,Non-Headshot
12,6/23/2026 10:23:08,42,Activity,Valorant,Kill_Event,Non-Headshot
12,6/23/2026 10:23:13,42,Activity,Valorant,Death_Event,Non-Headshot
12,6/23/2026 10:25:00,33,Biometrics,HeartRate,Reading,88
12,6/23/2026 10:25:03,42,Activity,Valorant,Kill_Event,Headshot
12,6/23/2026 10:25:04,42,Activity,Valorant,Death_Event,Non-Headshot
12,6/23/2026 10:25:34,42,Activity,Valorant,Death_Event,Non-Headshot
12,6/23/2026 10:27:03,42,Activity,Valorant,Death_Event,Headshot
12,6/23/2026 10:28:07,42,Activity,Valorant,Death_Event,Headshot
12,6/23/2026 10:29:37,42,Activity,Valorant,Death_Event,Headshot
12,6/23/2026 10:30:00,33,Biometrics,HeartRate,Reading,92
12,6/23/2026 10:30:00,42,Activity,Chrome,URL,www.youtube.com
12,6/23/2026 10:32:02,42,Activity,Valorant,Death_Event,Headshot
12,6/23/2026 10:32:02,33,Biometrics,HeartRate,Alarm_Level,5
12,6/23/2026 10:32:02,33,Biometrics,HeartRate,Delta_Reading,20
12,6/23/2026 10:32:02,33,Biometrics,HeartRate,Reading,112
12,6/23/2026 10:34:06,42,Activity,Valorant,Event,Surrendered
12,6/23/2026 10:34:15,42,Activity,Valorant,Event,Exit
12,6/23/2026 10:35:00,33,Biometrics,HeartRate,Reading,90
12,6/23/2026 10:40:00,33,Biometrics,HeartRate,Reading,88
12,6/23/2026 10:45:00,33,Biometrics,HeartRate,Reading,85.5
12,6/23/2026 10:50:00,33,Biometrics,HeartRate,Reading,83
12,6/23/2026 10:55:00,33,Biometrics,HeartRate,Reading,80.5
12,6/23/2026 11:00:00,33,Biometrics,HeartRate,Reading,78
12,6/23/2026 11:00:00,42,Activity,Chrome,URL,www.youtube.com
12,6/23/2026 13:00:00,42,Activity,IDE,Event,Launch
12,6/23/2026 13:05:00,42,Activity,IDE,Active_Project,alisa-v2-backend
12,6/23/2026 13:30:00,33,Biometrics,HeartRate,Reading,68
12,6/23/2026 14:45:00,42,Activity,Chrome,URL,github.com
12,6/23/2026 15:30:00,33,Biometrics,HeartRate,Reading,70
12,6/23/2026 16:00:00,42,Activity,IDE,Event,Exit
